timestamp,load_MW,temperature_C,humidity_percent,hour_of_day,day_of_week,month,is_weekend,is_holiday,is_anomaly
2023-01-01 00:00:00,257.42,24.3,66.0,0,6,1,1,0,0
2023-01-01 01:00:00,245.13,29.4,63.5,1,6,1,1,0,0
2023-01-01 02:00:00,275.27,20.6,61.7,2,6,1,1,0,0
2023-01-01 03:00:00,313.85,22.7,54.2,3,6,1,1,0,0
2023-01-01 04:00:00,291.67,29.6,46.2,4,6,1,1,0,0
2023-01-01 05:00:00,317.0,25.4,73.4,5,6,1,1,0,0
2023-01-01 06:00:00,389.51,27.7,79.6,6,6,1,1,0,0
2023-01-01 07:00:00,396.4,31.2,82.5,7,6,1,1,1,0
2023-01-01 08:00:00,390.81,22.9,42.6,8,6,1,1,0,0
2023-01-01 09:00:00,437.86,24.7,73.3,9,6,1,1,0,0
2023-01-01 10:00:00,429.4,24.2,72.7,10,6,1,1,0,0
2023-01-01 11:00:00,439.84,19.1,82.6,11,6,1,1,0,0
2023-01-01 12:00:00,461.12,24.1,51.4,12,6,1,1,0,0
2023-01-01 13:00:00,403.66,27.6,73.4,13,6,1,1,0,0
2023-01-01 14:00:00,397.89,26.6,42.5,14,6,1,1,0,0
2023-01-01 15:00:00,410.27,26.9,68.4,15,6,1,1,0,0
2023-01-01 16:00:00,377.27,23.9,55.8,16,6,1,1,0,0
2023-01-01 17:00:00,385.13,23.0,74.6,17,6,1,1,0,0
2023-01-01 18:00:00,707.54,28.8,78.8,18,6,1,1,0,1
2023-01-01 19:00:00,287.63,23.5,56.4,19,6,1,1,0,0
2023-01-01 20:00:00,334.26,25.9,63.7,20,6,1,1,0,0
2023-01-01 21:00:00,270.23,25.5,45.3,21,6,1,1,0,0
2023-01-01 22:00:00,260.88,29.4,58.8,22,6,1,1,0,0
2023-01-01 23:00:00,213.09,27.9,56.2,23,6,1,1,0,0
2023-01-02 00:00:00,336.53,21.1,48.2,0,0,1,0,0,0
2023-01-02 01:00:00,358.03,21.4,80.3,1,0,1,0,0,0
2023-01-02 02:00:00,341.47,26.7,46.7,2,0,1,0,0,0
2023-01-02 03:00:00,403.48,24.8,68.6,3,0,1,0,0,0
2023-01-02 04:00:00,410.14,23.6,80.1,4,0,1,0,0,0
2023-01-02 05:00:00,454.05,28.0,81.0,5,0,1,0,0,0
